Date,Tweet
2025-08-08 06:37:19+00:00,ğŸ›ï¸ Trump Welcomes Crypto to 401(k) Plans: A new executive order instructs the Department of Labor to reconsider the inclusion of crypto assets in retirement funds. https://t.co/i873kAxCTZ
2025-08-08 06:37:09+00:00,@IslamInvasion Yâ€™all need a Donald Trump 2.0
2025-08-08 06:37:06+00:00,"@_SueSue_1 @Whitlina @joma_gc @JamesCarville If a single living Democrat was on the Epstein list, Donald Trump would have released it to win in 2020. Heâ€™d release it now if any democrats were on the list."
2025-08-08 06:37:00+00:00,"@WhiteHouse At 66, Former Personal Driver Breaks Silence on Donald Trump https://t.co/jkRXispkcp
@YouTube
DONALD TRUMP HAS ALWAYS BEEN A LYING CHEATING GRIFTING PIECE OF SHIT!!!!!!! 
DONALD TRUMP ""IS STILL A LYING CHEATING GRIFTING PIECE OF SHIT""!!!!!!!!!!!!!!!!!!"
2025-08-08 06:36:59+00:00,"@AGPamBondi @TheJusticeDept @StateDept ARTICLE:
TRUMP AND EPSTEIN WERE VERY CLOSE FRIENDS FOR 
(15 YEARS*)

Multiple reports have stated that Donald Trump hosted a ""Calendar Girl"" Competition at his Mar-a-Lago estate, 
where Jeffrey Epstein was the ONLY other Guest present.

https://t.co/Wu5yj9B0xj"
2025-08-08 06:36:59+00:00,@registerofdecay And then we get nothing done LOL China would eat our lunch like they have for the last 8 years with libertarian  &amp; neocons running the Republican Party. Thank the Lord for Donald Trump and maga
2025-08-08 06:36:56+00:00,"@jananiz1 @hodgetwins Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:36:53+00:00,"US President Donald Trump has announced plans to host a ""peace summit"" between long-time adversaries Armenia and Azerbaijan at the White House 
https://t.co/J8sbpZLUL6"
2025-08-08 06:36:45+00:00,"US President Donald Trump said Thursday he would meet with Vladimir Putin for upcoming talks on the Ukraine war even if the Russian leader had not sat down with Ukrainian President Volodymyr Zelensky.
https://t.co/x8F8i2xqjK"
2025-08-08 06:36:45+00:00,"â€˜Maybe itâ€™s his style': Shashi Tharoor on Trump's tariff move, says 'govt may know more'
https://t.co/ViVwkMarYw"
2025-08-08 06:36:41+00:00,"@MEGAFDT @TruthSlicer @GOP According to Washington Post fact-checks, Donald Trump made 30,573 false or misleading claims during his first presidency (2017-2021). For Joe Biden's presidency (2021-2025), no equivalent total exists, but he had 78 in his first 100 days, suggesting under 2,000 overall at a"
2025-08-08 06:36:38+00:00,Donald Trumpâ€™s Weekly schedule ğŸ˜‚ https://t.co/yfkRgDtOW2
2025-08-08 06:36:36+00:00,@JamesGrayPoupon @donie @TheOmniLiberal @charliekirk11 didn't donald trump rape someone?
2025-08-08 06:36:35+00:00,"wTrump â€“ a fun, cartoonish Donald Trump, inspired by memes and royal brilliance. https://t.co/z4XTji45oX"
2025-08-08 06:36:33+00:00,Ukrainian President Volodymyr Zelenskyy is defending his country's right to participate in potential peace talks between the leaders of Russia and the U.S. It comes as Donald Trump and Vladimir Putin are due to meet in the coming days to discuss the war in Ukraine.
2025-08-08 06:36:25+00:00,"Donald Trump Signs Executive Order to Prevent Banks From Discriminating Crypto.

US President Donald Trump on Thursday signed an executive order to prevent banks from discriminating against the crypto industry.

Trump signed another pro-crypto executive order yesterday, this time https://t.co/QrJW8syhsQ"
2025-08-08 06:36:24+00:00,â€œBad things are happening in South Africaâ€ - Donald Trump https://t.co/71IbFNxxcO
2025-08-08 06:36:22+00:00,"US President Donald Trump says that Russian President Vladimir Putin does not need to meet Ukrainian President Volodymyr Zelensky before their planned summit
https://t.co/YXOzzrABOz"
2025-08-08 06:36:19+00:00,"@ApexLieSlayer @Acyn Based on verified reports, key instances of Donald Trump insulting women (Aug 8, 2024â€“Aug 8, 2025):

- Sep 6, 2024: Mocked accusers E. Jean Carroll &amp; Jessica Leeds, calling claims ""impractical"" &amp; inspired by Monica Lewinsky.

- Sep 15, 2024: Posted ""I HATE TAYLOR SWIFT!"" on Truth"
2025-08-08 06:36:18+00:00,"@Little__Birdy @hodgetwins Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:36:10+00:00,"@CoryBooker Donald Trump is the President. If you don't like it, self-deport. @CoryBooker is a ğŸ¤¡"
2025-08-08 06:36:07+00:00,"So on telegram they're saying that Donald Trump Jr is the head director of releasing your Quantum card to you they claim they want you to pay $3,400 to receive the car and it's going to come out of your money I thought Judy buying just said these people are getting sued"
2025-08-08 06:35:58+00:00,@debrablackmanXX @libsoftiktok Starting with Donald Trump.
2025-08-08 06:35:52+00:00,"@MR8326585779267 @HealthRanger Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:35:46+00:00,"@realDonaldTrump https://t.co/ZCGLND0iGh
Dear Donald Trump, you are not being friendly.ğŸ˜Œ"
2025-08-08 06:35:16+00:00,@grok @cb_doge generate elon musk dancing with donald trump
2025-08-08 06:35:16+00:00,Girl STFU she just proving she dont care if Donald Trump wins especially since Cuomo is endorsed by Trump https://t.co/ShGav5YMnP
2025-08-08 06:35:14+00:00,"@ExposingVirus @WhiteHouse Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:35:09+00:00,Tariff news: Doug Ford says Donald Trump â€˜most disliked politician in the world in Canadaâ€™ https://t.co/2ZKP4TDKRl
2025-08-08 06:35:02+00:00,"@IvankaNews_ Thai soldiers has violated the ceasefire agreement of Mr.President Donald J. Trump by capturing 20 Cambodian soldiers on the morning of July 29, 2025. Please free soldiers Cambodian soon.
People in Cambodia need peace. ğŸ•Šï¸ğŸ‡°ğŸ‡­"
2025-08-08 06:35:01+00:00,"The President Who Poisons All He Touches: Donald Trump, the First American Dictator | https://t.co/HWsWwIpbF2 ||"
2025-08-08 06:34:50+00:00,"President Donald Trump has made Cambodia and Thailand implement a ceasefire until both countries are fully at peace.
Thanks Mr president Donald J Trump"
2025-08-08 06:34:37+00:00,"@IvankaNews_ 100% yes, Donald Trump is the best 45th and 47th US president ğŸ‡ºğŸ‡¸ğŸ˜ŒğŸ«‚ğŸ«±ğŸ»â€ğŸ«²ğŸ¼, in 2028 he will win I am sure https://t.co/c0fJrqsRa1"
2025-08-08 06:34:37+00:00,"@Acyn Ummmm ..... Hey @grok, can you list every instance where Donald Trump has insulted women just in the past 12 months?"
2025-08-08 06:34:34+00:00,"@LordAbrasivism Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:34:32+00:00,@pradip103 Do a PC hit out  at Donald Trump first .  Daro mat ....
2025-08-08 06:34:31+00:00,"@Yadav15624Veer @nypost James Carville retracted baseless claims linking Melania Trump to Jeffrey Epstein after her lawyer's letter. He pulled the video and apologized on his podcast, admitting the error. No credible evidence supports such connections; Melania's memoir confirms she met Donald"
2025-08-08 06:34:26+00:00,"à¤…à¤°à¥‡! à¤¯à¥‡ video à¤•à¤¹à¤¾ à¤¥à¤¾?

Donald Trump is a pro-Sanatani,
Who loves India?
ğŸ˜‚ğŸ˜‚ğŸ¤¦

https://t.co/wuj9crHy0v"
2025-08-08 06:34:23+00:00,"Since long it has been very clear that Donald Trump feels that the Justice Department is there to execute his orders. It is necessary to address this feeling because its contagious and spreading across. 

The American infatuation clubbed with arrogance borrowed from money and https://t.co/RnCESye5eT"
2025-08-08 06:34:12+00:00,@AponteAaron Seth Meyers Listens In To The Taunting Voice Inside Donald Trump''s Head. â€œDo you think he won the popular vote? #PopularVote #SethM
2025-08-08 06:34:09+00:00,"@DonnaShalala Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:34:08+00:00,5) Later I heard she went around a couple of countries fucking men left &amp; right until she fucked Donald Trump under the supervision of her mom all the time when we broke up I took medication to pass out which I knew was heavy with some â€œtoxicâ€ (not exactly) and went to sleep but
2025-08-08 06:34:06+00:00,THAT IS A DIRECT ASSAULT ON DONALD TRUMP! https://t.co/vw7dlibzFk
2025-08-08 06:33:58+00:00,"@Mollyploofkins REPUBLICANS and EVANGELICALS refused to Hold Donald Trump ACCOUNTABLE for covering up his TIES to Epstein's CABAL raping LITTLE GIRLS. GOD is bringing ""DOWN"" Donald Trump for this EVIL and for using his NAME IN VAIN.
EXODUS 20:7..Thou shalt not take the name of the LORD..in vain. https://t.co/tixnKOX8u3"
2025-08-08 06:33:53+00:00,"@thejackhopkins donald ""kidfu@ker"" trump is actually TF our president ğŸ™„ğŸ˜³ğŸ˜µâ€ğŸ’«ğŸ«£ğŸ¤®ğŸ˜µğŸ¤¯ğŸ˜–ğŸ˜’."
2025-08-08 06:33:50+00:00,"@BulwarkOnline Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:33:41+00:00,@greg_price11 Yeah moron. They have freedom of speech so they can reflect the reality of how much worse Donald Trump is. They are under no obligation to treat both equally because they are not equally worthy of respect.
2025-08-08 06:33:36+00:00,"@girlsreallyrule Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:33:35+00:00,"Seriously conservatives are DUMB and they are SO proud of it. â€œDonald Trump raped childrenâ€ â€˜HAHA LIBTARD, he talked about being in childrenâ€™s locker rooms because heâ€™s NOT a pedophile!â€™ This is how these retards brains work. Itâ€™s insane. There is no common ground."
2025-08-08 06:33:20+00:00,"Trump says Putin don't have to meet Zelensky for summit to go ahead
 https://t.co/QJLqFCz0ZN"
2025-08-08 06:33:11+00:00,"@TheProjectUnity Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:33:09+00:00,@NaimVas @RajivMessage Heâ€™s quite similar to Stalin (Russian one)  in his behaviour and actions. Only his political ideology is the opposite. Donald Trump is like a chameleon but the one which isnâ€™t sometimes afraid to show its true colours instead of blending.
2025-08-08 06:33:05+00:00,"Donald Trump Signs Another Crypto-Friendly Executive Order
https://t.co/xFMyroJjwL"
2025-08-08 06:33:04+00:00,"""The only president in history who had a best friend for ten years who was raping children nearly every day of those ten years.""

""Donald Trump's own DOJ, which he now owns and operates, has said that Jeffrey Epstein raped over a 1,000 victims. A thousand.""

-Lawrence O'Donnell"
2025-08-08 06:32:53+00:00,"Indian Prime Minister Narendra Modi has responded for the first time to the recent tariff hikes imposed by U.S. President Donald Trump, saying he will not compromise on the interests of Indian farmers, even if it comes at a high political cost.

""I personally know I will have to https://t.co/FT9WeFZNlO"
2025-08-08 06:32:50+00:00,"Donald trump could be sleepwalking into the worst US President in history, even eclipsing James Buchanan.
 
Buchanan is known for ""Buchanan's Blunders"" and Trump for ""Trump's Tariff's"""
2025-08-08 06:32:48+00:00,"@IvankaNews_ Thai soldiers has violated the ceasefire agreement of Mr.President Donald J. Trump by capturing 20 Cambodian soldiers on the morning of July 29, 2025. Please free soldiers Cambodian soon.
People in Cambodia need peace. ğŸ•Šï¸ğŸ‡°ğŸ‡­"
2025-08-08 06:32:43+00:00,"@factandrumor Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:32:20+00:00,"@WakeUpPatriott Thai soldiers has violated the ceasefire agreement of Mr.President Donald J. Trump by capturing 20 Cambodian soldiers on the morning of July 29, 2025. Please free soldiers Cambodian soon.
People in Cambodia need peace. ğŸ•Šï¸ğŸ‡°ğŸ‡­"
2025-08-08 06:32:15+00:00,"@nexta_tv Trump received an invitation to meet his idol and spiritual father, there will be no more talk of sanctions. There are deals to be made, restrictions to be lifted and the Nobel Peace Prize became so close Donald can sniff it."
2025-08-08 06:32:09+00:00,@ReOpenChris DONALD TRUMP IS A CHILD MOLESTER!!!!! https://t.co/77JggLIImV
2025-08-08 06:32:08+00:00,"@gkfahnbulleh @nILFeed @DrCatharineY Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:32:00+00:00,@AponteAaron Former GOP Candidate Carly Fiorina Says She Won''t Vote For Donald Trump Again. â€œIâ€™ve been very clear that I canâ€™t support Donald Tru
2025-08-08 06:31:58+00:00,"@Maga_Trigger Donald Trump deserves to be slowly keelhauled underneath USS Harvey Milk before its new name is painted on top. 

Is the new name of that USNS a famous Hegseth, pedophile slave owner from South Carolina who fucked the shit out of his youngest slaves, stealing their virginities? https://t.co/67oKSNb38f"
2025-08-08 06:31:49+00:00,@ElonMuskNews47 Donald Trump
2025-08-08 06:31:43+00:00,"Donald Trump is the greatest current American president, and I won't hear argument against that."
2025-08-08 06:31:42+00:00,"@TTNEnglish Thai soldiers has violated the ceasefire agreement of Mr.President Donald J. Trump by capturing 20 Cambodian soldiers on the morning of July 29, 2025. Please free soldiers Cambodian soon.
People in Cambodia need peace. ğŸ•Šï¸ğŸ‡°ğŸ‡­"
2025-08-08 06:31:39+00:00,@FoxNews Itâ€™s crazy how the Demsâ€™ entire platform comes down to: Obstruct Donald Trump!
2025-08-08 06:31:35+00:00,@AIPAC @RitchieTorres Is he another one that is being blackmailed by Mossad for child sex crimes same as Donald Trump?
2025-08-08 06:31:35+00:00,"@zohranmamdani Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:31:35+00:00,@MelaniaTMAGA America behold Donald. J Trump is your  President #MAGA2028
2025-08-08 06:31:20+00:00,"@joduwole @CNN @richardquest You did well, madam minister.
I love your responses.

Nigeria will not cave in to the USA threats and/or kowtow to Donald Trump's bully.

Nigeria will survive whatever policies the USA slams on her.
This is the time for Africa to rise.
Kudos to you, @joduwole"
2025-08-08 06:31:18+00:00,"@zohranmamdani Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:31:16+00:00,"@IvankaNews_ Thai soldiers has violated the ceasefire agreement of Mr.President Donald J. Trump by capturing 20 Cambodian soldiers on the morning of July 29, 2025. Please free soldiers Cambodian soon.
People in Cambodia need peace. ğŸ•Šï¸ğŸ‡°ğŸ‡­"
2025-08-08 06:31:07+00:00,"Ivanka Trump â€” daughter of the legendary Donald, the king of deals and golden promises. https://t.co/njGw6Fydjb"
2025-08-08 06:31:05+00:00,Appeal to Donald Trump https://t.co/CX0gG9LosF via @YouTube
2025-08-08 06:30:58+00:00,"@zohranmamdani Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:30:57+00:00,"@sushantsareen Even if QUAD happens and even if Trump attends it, PM Modi must make it clear that Bharat means Business and Busiton equal and honourable Terms and Conditions!
But not at the Whims and Fancies of Donald Trump!"
2025-08-08 06:30:50+00:00,"@aspiringpeasant The Constitution hasnt changed recently - why would it ""error"", and only on the 2 parts that DONALD TRUMP IS BREAKING?

There are compliance watchdogs for many things, but somehow they fumble The Constitution?

No.

This administration is CRIMINAL.
Benedict Arnold did less"
2025-08-08 06:30:43+00:00,"Donald Trump wants his voters to believe that because of tariffs, billions are pouring into America â€” as if an American importer could saddle a French winery with millions in payments to Washington just by deciding to buy their wine. Who would ever agree to that expense?

Thatâ€™s https://t.co/VehhTVVryk"
2025-08-08 06:30:39+00:00,@IvankaNews_ thank presidenld donald j. trumpğŸ‡°ğŸ‡­ğŸ‡ºğŸ‡¸ğŸ™ğŸ’ğŸ™
2025-08-08 06:30:35+00:00,"@ZohranKMamdani Donald Trump is a pedophile 
Donald Trump is a pedophile
Donald Trump is a pedophile
@realDonaldTrump"
2025-08-08 06:30:30+00:00,"â€œRussian President Vladimir Putin and U.S. President Donald Trump are expected to meet in the coming days, Russian foreign policy aide Yuri Ushakov said on Aug. 7.â€
#Putin + @POTUS + @ZelenskyyUa + #Europa = Waffenstillstand? 
@WDRaktuell @nytimes @AP @NZZ
https://t.co/h1pgXIDVvg"
2025-08-08 06:30:28+00:00,"PM Modi, Lula vow to boost India-Brazil ties in trade, tech, defence
https://t.co/XnLkZRDP3a

via NaMo App https://t.co/R3H4057p6a"
2025-08-08 06:30:28+00:00,"@desai_ujjwala @nrajabpcl @ArunDeshpande20 @nrajabpcla @shitul905 @raj2jas @JaganNKaushik @SoniaGurnani19 @tmmenon @GenPanwar @neerangautam @Richa_Anand73 @Stuti8220 @Anju1951Purohit @prakasia @narendramodi @rajnathsingh @DRDO_India @makeinindia @savitha_rao @dhaval8456 @lakshmianand96 @OnlineRajan__ @GauravModified @NationalistIn14 @namoArunima @Pankaj_NaMo @pn906 @drrajinder1984 @AbhinandanKaul @Bobbyamit76 @adgpi @IAF_MCC @athavale_abhi @DefenceMinIndia @c_aashish @incredibleindia @mjavinod @u_sathyan @ColSarang @pallavict @arvind_joshi @sowmiyasid @mekarora @SBudhiraju @abhijit_golu @kavita_tewari Donald Trump's USA would be faced unprecedented economic crisis will be repeated great depression from 1929 to 1934, his mentality to enslave India cost him heavy Price,PM Modi never be subdued such arm twisting threatening to cut relationship with Russia, we will be mor stronger"
2025-08-08 06:30:28+00:00,"With US President Donald Trump doubling tariffs on India to 50%, the government has begun reaching out to industry with a four-pronged strategy to limit the damage to manufacturing, exports and jobs.
Read here: https://t.co/4FUxX0SgDO https://t.co/3QRh6SbGkL"
2025-08-08 06:30:24+00:00,"@GreenNFTWitch @theophilus367 @Mollyploofkins The recent House subpoenas target Bill and Hillary Clinton for Epstein-related depositions, but not Donald or Melania Trump, per official records from Aug 5, 2025. Claims of the ""whole Trump family"" on Epstein lists often stem from outdated or exaggerated flight log"
2025-08-08 06:30:23+00:00,"You did well, madam minister.
I love your responses.

Nigeria will not cave in to the USA threats and/or kowtow to Donald Trump's bully.

Nigeria will survive whatever policies the USA slams on her.
This is the time for Africa to rise. https://t.co/UHW8l4e50V"
2025-08-08 06:30:15+00:00,"U.S. President Donald Trump on Thursday signed a memorandum that requires universities to collect admissions data to prove they are not engaged in efforts to shape their student bodies along racial lines, according to the White House.

https://t.co/Qxk2kijkk4"
2025-08-08 06:30:10+00:00,First Thing: New Trump tariffs come into force against dozens of countries | US news Good morning.Dozens of countries have been hit with higher taxes on their exports to the US after Donald Trumpâ€™s latest : https://t.co/Rf6alNMCO4 #news #digitpatrox
2025-08-08 06:30:10+00:00,"Indiaâ€™s domestic institutions made their largest purchase of local stocks in four months on Thursday, providing a cushion to markets reeling from President Donald Trumpâ€™s escalation of tariffs.  

Read more: https://t.co/a6mlHGmntH"
2025-08-08 06:30:06+00:00,"This Shithead is the mist dedpicable Turd on the planet.  Let's give   her permission to fling him off of her, like The FLEA, Donald Trump IS. https://t.co/MQY2rcRk5j"
2025-08-08 06:30:03+00:00,"President Donald Trump has instructed the Department of Commerce to change the way the Census Bureau collects data.
https://t.co/CcJlelAmg9"
2025-08-08 06:30:02+00:00,"@RapidResponse47 @PlanetTyrus #PedoGate

PEDO BROS TRUMP AND EPSTEIN 

DONALD TRUMP IS ALL OVER THE EPSTEIN FILES

HE IS A RAPIST KKK FELON BTCH

@realDonaldTrump
#PedoTrump
#TrumpPedoFiles
#EpsteinTrumpCoverUp
#PedoPresident
#TrumpIsAPedoRapist https://t.co/bhZkHmZrxq"
2025-08-08 06:30:02+00:00,"@academic_la Donald Trump is probably the most Israel-friendly 
US president of all time:

This can be seen in countless of his decisions. The bombing of Iran and the relocation of the US embassy from Tel Aviv to Jerusalem are particularly clear examples of this. 
The latter may seem trivial"
2025-08-08 06:30:02+00:00,"@The1ManofSteel @trackingdonald @LauraLoomer @RepMTG Trump Tower in NYC was developed by Donald Trump and Equitable Life Assurance Co., designed by Der Scutt, and built by general contractor HRH Construction. For demolition, subcontractor Kaszycki &amp; Sons hired ~200 undocumented Polish workers, who were underpaid and sued; Trump"
2025-08-08 06:30:00+00:00,@catturd2 â¤ï¸â¤ï¸â¤ï¸ğŸ‡ºğŸ‡¸ğŸ‡ºğŸ‡¸ğŸ‡ºğŸ‡¸!G.O.A.T 45-47! PRESIDENT DONALD JOHN TRUMP IS THE PRESIDENT OF/BY/FOR THE PEOPLE!ğŸ‡ºğŸ‡¸ğŸ‡ºğŸ‡¸ğŸ‡ºğŸ‡¸â¤ï¸â¤â¤ï¸
2025-08-08 06:30:00+00:00,"#Chinese Ambassador to India, #XuFeihong, strongly criticised the United States on Thursday, calling it a â€œbully.â€ His remarks came just a day after US President Donald Trump increased #Tariffs on India goods to 50%, reportedly in response to Indiaâ€™s ongoing #oiltrade with https://t.co/yjhyIZWHoK"
2025-08-08 06:30:00+00:00,"Trump calls for 'immediate' resignation of Intel CEO

ğŸ‘‰ Senator Tom Cotton singled out Lip-Bu Tan over his alleged ties to the Chinese Communist regime 

https://t.co/H38UPIlxgF"
2025-08-08 06:29:59+00:00,"@BarronTNews_ These DC Swamp Monsters were meant to assemble at the Arlington Bunker after the fake GHWB funeral on December 5, 2018.  Except, Donald closed the Arlington Bunker.  The card in the envelope said the Arlington Bunker is closed.  Trump spoiled their wicked plans."
